iter,coal,gas,nuclear,oil,Î¸,investment_cost,EQ,gap,cut_type
1,0.0,0.0,0.0,0.0,0.0,0.0,7.338605251131961e6,7.338605251131961e6,optimality
2,0.0,0.0,0.0,8736.434822776144,0.0,17472.869645552288,1.4276256113171016e6,1.4276256113171016e6,optimality
3,0.0,0.0,0.0,15998.920511077216,0.0,31997.841022154433,1.1741768401811137e6,1.1741768401811137e6,optimality
4,0.0,14677.21050226392,0.0,0.0,0.0,73386.0525113196,587088.4200905568,587088.4200905568,optimality
5,10674.334910737398,0.0,0.0,0.0,0.0,170789.35857179837,191723.66658693732,191723.66658693732,optimality
6,10674.334910737398,0.0,0.0,13329.359677177872,0.0,197448.0779261541,184608.62078257202,165064.9472325816,optimality
7,0.0,163.79578431740447,7174.80946681456,3830.3947488680383,59739.9242796866,238073.67135738904,153449.50640734704,64699.42952166003,optimality
8,0.0,3300.748139112659,7868.251860887336,0.0,41011.053147238265,268287.8002439581,84810.74587403706,43799.69272679882,optimality
9,3045.303978985968,3588.8305864712197,4534.865434542811,0.0,102950.01255866166,211784.71050150154,133107.47454239475,30157.461983733112,optimality
10,8289.907699704107,0.0,0.0,2699.942206838296,192697.38365906928,138038.4076089423,240881.678752791,14156.39377588476,optimality
11,5511.381244884241,0.0,4424.118755111465,1233.5000000042921,104470.34697994094,232220.90008172332,114055.492527851,8200.937982232077,optimality
12,7632.011168849881,1256.6954684106604,1558.7804054209882,721.5129573184679,157479.10644921477,179719.65493175996,167007.92786579617,7693.423662921588,optimality
13,4783.510090195361,1256.6954684106581,4407.281484075509,59.03299215666259,114310.65791068747,223970.71225990867,125472.88122332028,6610.8148733001435,optimality
14,4711.090732755452,2020.144932572586,3458.9327557224033,871.8330827070815,141820.99871584884,197907.6907354812,147778.92229191522,5163.495592566265,optimality
15,4754.807013630686,1559.2851239634704,4031.4078624058407,849.6428571428605,125214.25394308791,214577.67514918096,126342.33613485337,1128.082191765483,optimality
16,5042.677927930622,367.2013888947412,5272.322072069374,801.5426587293265,87398.30117938636,252836.2454150423,91925.44159035578,685.4646896056947,optimality
17,5054.929054056109,640.4062500072457,4880.570945939593,816.7276785710138,98365.3650112591,241892.62174214298,101582.01740851201,662.024530632305,optimality
18,5084.999999999974,1311.000000000069,3918.999999999988,853.9999999999641,125284.52168906375,215030.99999999948,125284.52168906365,-1.1641532182693481e-10,optimality
